id	p1	median_age	area	developed_land	residential_density	land_use_proximity	age_death	singlefamily_property_value	year_built	commercial_permits	commercial_year_built	gas_consumption	heated_sqft	commute_time	drive_alone	dropout_rate	change_residential_property_value	impervious_surface	unexcused_absences	transit_proximity	rental_units	foodstamps	foreclosures	employed_6_months	median_household_income	grocery_stores	medicaid	housing_units	part_time	new_building_permits	structures_in_floodplain	water_consumption	fire_calls	births_to_adolescents	growth_3_5	growth_6_8	growth_9_12	proficient_9_12	proficient_6_8	proficient_3_5	residential_reno_permits	north_carolina_health_choice	tree_canopy	bicycle_friendly	energy_consumption	adopt_a_stream	commercial_building_sqft	street_connectivity	juvenile_incidents	streets_adopted	nuisance_violations	animal_control	residents_on_committees	neighborhood_organizations	code_violations	near_public_outdoor_recreation	near_medicaid_or_free_clinic	property_crime	residential_recycling	sidewalks	violent_crime	registered_voters	voter_participation	white	black	asian	group_population	other_population	neighborhood_schools	owner_occupied	near_drugstore	public_transit	residential_vacant	no_highschool_diploma	rent	private_schools	grants	commercial_code_violations	commercial_property_value_change	preschool_programs	school_aged_programs	subsidized_housing	zoning_violations	waste_generation	residential_vacant_rate	residential_tree_canopy	hispanic
32	317	32	87	100	2.5		87	99414			1984	24		6.6	85.6	0	0.2	42.5	25	100		7.3	1.4	0	33226	100	6.9	220	40.9			4.3	0.073	0				60					14.8	1.2	961	0	205551	1.1	0	2.9	11	16	0	0	0	100	0	6309	61.2	63.8	1262	77.4	38.9	82.6	11	0.6	0	2.8	85.7	78.3	100	17		0	933	51.6				0	0	0.5		39.9	5.9	22.5	9.1
33	1259	27	259	85.5	2.4		49	140508	1964	1360	1996	50	1736	16.9	56.2	2.8	0.7	26.3	11.3	100	42.3	12.5		6.7	71392	63.7	7.2	612	34.9	5			0.013	0	66.7	53.3	36.8	52	44.4	50		7.5	45.1	1.3	929	0	532194	1.2	837	2.86	20	6	0	0	1	0.7	63.7	5242		15.9	79	33.8	31.8	17.1	30.6	44.8	0	1.5	70.2	2.6	95.9	59	17	6.6	861	0				0	0	0		28.1	3.8	46.1	7.1
34	1787	32	946	64	0.9		66	73893	1972		1961	48	1268	38.7	72.8	3.6	0.8	6.4	16.3	29.5	33.4	28.7	2.8	22.2	43070	28.1	21.7	789	68.3	14	1	6.1	0.02	7	72.7	48.5	63.6	75	44	58.1	10	5.4	61.7	1.4	1083	0	238729	1.2	0	0	177	222	1	1	9	81.2	0	3917	48.1	32.3	392	67.7	35.5	38.1	49.4	3.4	0	5.6	78.1	69	32.7	0	124	26.5	1074	0				1	1	2		27.2	11.3	63.5	14.2
35	1657	48	2572	48.1	0.3		66	152379	1984		1976	38	1848	30.1	85.5	12.8	0.6	5	12.6	51	21.8	21.2	1	3.7	38073		14.8	679	51.1	26	92	6.1	0.017	2.1	69.6	57.9	63.6	81.3	57.1	65.9	6	7.9	54.5	1.3	1367	0	867595	1.3	1124	0	9	141	0	3	3	11.2	0	3199		21.3	241	67.5	38.2	67.2	20.5	2.9	0	6.9	66.7	78.3	0	15	163	17.4	450	24				0	0	0.7			11.9	50.2	11.8
36	2268	46	594	90.8	1.7		68	150764	1979		1989	53	1893	42.1	81.3	4.4	1.9	15.8	6	56.6	11.4	8.6	0.4	15	54950	18.3	6.8	1030	47.3	2	32	7.2	0.019	2.9	67.9	70	39.1	90.9	97.1	77.8	25	4.5	65.9	1.7	1013	22	267820	1.1	0	1.04	85	111	1	2	5	82.1	44.2	2293	62.2	28.5	88	89	48.1	83.6	8.5	2.1	0	3.1	59.9	88.3	22.9	6	26	5.7	1059	19.2				2	2	0		41.7	5	67.7	7.1
37	1696	36	243	88.3	3.2		64	94060	1953		1948	49	1132	52.9	47.7	8.2	4.1	23	20.7	100	45	46.5	1.6	21.2	19037		33.4	790	69.3	1	5	4.9	0.034	19.1	52	55.6	57.9	72.4	45.9	34.5	14	3.1	55.9	2.2	1059	12.2	358813	1.4	392	0	486	233	0	4	37	100	0	7429	34.5	93	1474	80.4	32.1	11.3	79.9	4	0	1.4	56.9	39.6	4.9	160	110	24.6	644	0				3	2	28.2		27.8	14.1	68.9	3.4
38	2319	40	1910	86.6	0.4		68	190731	1991	143066	1990	62	2418	45.2	80.8	4.2	0.8	21.1	9.7	1.2	8.3	4.7	0.5	10.2	88266	34.4	4.2	841	46.5		2	7.1	0.027	0	50	63.2	64.7	82.4	79	70.9	20	1.7	35.3	1.4	1168	0	4754678	1.2	0	1.1	55	81	1	4	1	64.6	0	4571	66.8	31.8	259	84.2	48.9	70.1	21.9	4.2	0	1.1	78.9	89.1	31.9	2	11	5.3	1089	42				0	0	0.2		34.4	2.8	51.2	5.3
39	2494	31	680	81.7	1.4		65	128459	1989		1980	48	1923	45.8	80.8	2	-0.8	11.5	11	4.9	13.5	19.7	1.8	7.3	59718	33.2	17.6	932	52.1	7	37	6.3	0.018	1.3	61.3	70.4	50	68.4	57.3	64.2	9	9.2	56.4	1.5	1128	0	80449	1.1	0	0	429	123	2	1	3	94	0	2646	52.5	32.6	241	74.2	48.6	32.9	47.9	2.5	0.2	11.3	77.4	80.9	0	0	86	18.8	968	24.3				2	2	1.1		45.4	6	56.6	20
40	2868	30	350	93.7	3.4		64	82893	1981		1992	46	1456	34.2	75	2.9	-2	19.5	17	100	25.1	32.8	4.8	12.4	40297	61.7	24.5	1183	53.8		36	5.5	0.024	12	59.2	66.7	38	49.2	53.1	46.8	17	8	53.2	1.3	952	0	89468	1.2	2264	0	306	240	0	2	8	93.4	70.8	6904	46.1	42.4	1046	54.9	39.4	16.1	60.6	2.4	0	15.9	47	50.1	66.7	58	50	25.8	830	9.1				0	1	3.7		33	11.8	58.5	26.1
41	1442	40	313	95.8	2.5		69	104373	1978		2000	43	1676	34.2	84.2	6.7	0.5	16.3	15.3	100	11	9	0.9	11.6	46696	12.3	9.2	774	39.8		2	7.1	0.01	3.9	88.5	46	81.3	74.1	73.7	81.3	7	2.5	58.1	1.6	1124	80.5	89524	1.1	0	0	109	103	0	1	1	100	1.2	1318	63.5	6.9	0	74.3	40.8	79.5	11.3	3.1	0	4	88	74.6	46.1	2	3	0.8	934	9.2				0	0	0.5		41.4	8.3	59.6	8.5
42	2331	43	352	91.1	3.8		67	200484	1984	1300	1976	65	3238	30.3	86.6	1.7	0.8	23.9	8	63.5	2.9	5.7	0.1	7	55253	2	5	1327	43.9		3	10.8	0.01	0	65	76.4	68.8	88.5	92.1	91.8	12	4.4	45.7	1.3	1026	0	3393	1.1	730	4.16	4	53	1	0	0	82.4	0	1373	70.6	45.2	129	82.9	54.5	87	7.4	2.7	0	1	84.3	63.2	3.5	14		2.1	793	24.1				0	1	1.5		45.1	9.3	47.4	3.9
43	1410	47	358	92.8	1.8		60	349478	1970		1994	80	2949	39	79.8	6.1	3.2	17.3	6.9	95.2	6.9	5.9	0.2	0	62333	59.9	6.6	641	37.3	2	22	9.2	0.011	0	60	63.9	53.3	81.8	72.5	80.9	18	2.5	56.9	1.4	1213	0	66425	1.2	0	0	18	84	1	2	1	2	0	2128	81.1	12.2	0	82.6	61.4	84.8	7.5	3.1	0	2.2	82.5	60.8	62.9	1	24	5.8	689	11.8				1	1	0		42	7.7	61.7	7.2
44	819	28	224	86.3	2		68	853374	1987		1993	105	4400	24.6	93.1	0	3.8	18.8	5.1	43	7.9	2.4		18.4	59398		3.5	447	65.9	5		13.1	0.023	0		66.7		20	66.7	75	8		47.9	1.4	1389	0	125801	1	1515	0	2	24	2	1	0	74.9	0	2930	83.9	37	0	66.1	53	77.5	10.1	3.9	0	3.7	87.2	27.4	0.4	4	34	0	931					0	0	0		62.9	6.4	55.9	8.1
45	2617	32	989	52.5	1		70	216723	2005		1985	55	2796	32	70.3	0	0.6	5.6	6.5		11.6	5.2	1.7	0.7	85756		5.5	987	27.9	65	39	7.6	0.006	0.6	65.5	53.1	72.4	84.2	75	69.4	14	1.8	41.8	1.4	1160	0	16370	1.3	0	0	7	59	0	0	1	9.8	0	497	71.1	62.9	76	69.8	42.8	55.3	23.4	13.3	0	4.6	52.5	90.3	0	0	132	0		12.2				0	0	0		24.3	6.2	21.1	12.7
46	2238	26	286	98.5	3.3		66	119532	1988		1994	45	1867	47.5	84.7	4.3	-0.6	19.5	13.2	45.2	12.9	15.1	2.2	3.9	36842	90.2	11.6	957	53.7			7.3	0.017	2	39.5	54.4	37.5	52.5	48.1	52.2	5	6.2	38	1.5	1660	0	90069	1.1	0	1.96	105	91	0	1	4	66.6	0	2100	62.3	19.6	0	62.5	37.5	41.6	44.2	3.8	0	7.1	78.7	39.2	34.9	0	8	12.5	894	6.3				2	2	9.8		30.2	9.1	45.6	13.5
