parid,class,saledate,price,saleval
13934700,R,7/24/2012,84900,Foreclosure Proceedings
13939000,R,2/6/2013,61000,Foreclosure Proceedings
13943000,R,12/12/2011,85000,Foreclosure Proceedings
13951825,R,11/14/2012,82000,Foreclosure Proceedings
14027077,R,4/10/2014,40700,Foreclosure Proceedings
14030850,R,11/5/2012,99500,Foreclosure Proceedings
14033300,R,3/3/2011,50500,Foreclosure Proceedings
14063150,R,1/18/2013,30000,Foreclosure Proceedings
14083850,R,11/20/2012,57750,Foreclosure Proceedings
14095200,R,11/14/2012,10000,Foreclosure Proceedings
14099100,R,12/14/2012,80000,Foreclosure Proceedings
14104200,R,1/16/2014,130000,Foreclosure Proceedings
14150213,R,10/12/2012,45299,Foreclosure Proceedings
14150277,R,6/25/2013,67500,Foreclosure Proceedings
14164450,R,8/26/2013,50113,Foreclosure Proceedings
14192852,R,2/6/2013,122000,Foreclosure Proceedings
14197450,R,1/29/2013,65100,Foreclosure Proceedings
14208200,R,8/20/2012,35550,Foreclosure Proceedings
14214050,R,4/6/2011,59000,Foreclosure Proceedings
14233400,R,10/5/2011,42000,Foreclosure Proceedings
14240100,R,11/19/2012,32000,Foreclosure Proceedings
14252752,R,8/6/2012,7500,Foreclosure Proceedings
14258900,R,1/5/2011,115000,Foreclosure Proceedings
14277301,R,2/21/2013,24000,Foreclosure Proceedings
14311700,R,2/7/2013,47497,Foreclosure Proceedings
14328400,R,12/15/2011,45100,Foreclosure Proceedings
14329100,R,2/27/2014,75252,Foreclosure Proceedings
14330000,R,8/4/2011,73000,Foreclosure Proceedings
14340910,M,1/27/2011,450000,Foreclosure Proceedings
14340911,M,1/27/2011,450000,Foreclosure Proceedings
14340912,M,1/27/2011,450000,Foreclosure Proceedings
14340913,M,1/27/2011,450000,Foreclosure Proceedings
